direction,level_type,entry_date,exit_date,entry_price,exit_price,tp_price,sl_price,size,pnl_gross,cost,pnl_net,bars_held,exit_reason
LONG,resistance,2018-03-16 13:30:00,2018-03-16 23:30:00,8444.3,8359.86,8613.19,8359.86,1.342516,-113.37,22.56,-135.93,40,stop_loss
SHORT,support,2018-03-17 12:00:00,2018-03-17 13:30:00,8125.08,7962.58,7962.58,8206.33,1.391079,226.05,22.38,203.67,6,take_profit
SHORT,support,2018-03-17 13:30:00,2018-03-17 18:45:00,7970.07,7810.67,7810.67,8049.77,1.424523,227.07,22.48,204.59,21,take_profit
SHORT,support,2018-03-17 18:45:00,2018-03-17 21:15:00,7818.95,7897.14,7662.57,7897.14,1.458596,-114.05,22.92,-136.97,10,stop_loss
SHORT,support,2018-03-18 00:30:00,2018-03-18 02:30:00,7739.98,7585.18,7585.18,7817.38,1.469054,227.41,22.51,204.9,8,take_profit
SHORT,support,2018-03-18 02:30:00,2018-03-18 02:45:00,7567.16,7642.83,7415.82,7642.83,1.509374,-114.22,22.96,-137.17,1,stop_loss
SHORT,support,2018-03-18 02:45:00,2018-03-18 03:45:00,7645.6,7722.06,7492.69,7722.06,1.489403,-113.87,22.89,-136.76,4,stop_loss
SHORT,support,2018-03-18 04:45:00,2018-03-18 05:45:00,7584.75,7660.6,7433.06,7660.6,1.496844,-113.53,22.82,-136.35,4,stop_loss
SHORT,support,2018-03-18 10:45:00,2018-03-18 11:15:00,7580.99,7656.8,7429.37,7656.8,1.49309,-113.19,22.75,-135.94,2,stop_loss
SHORT,support,2018-03-18 14:00:00,2018-03-18 14:45:00,7429.96,7504.26,7281.36,7504.26,1.518866,-112.85,22.68,-135.53,3,stop_loss
SHORT,support,2018-03-18 14:45:00,2018-03-18 16:00:00,7489.91,7340.11,7340.11,7564.81,1.502185,225.02,22.28,202.75,5,take_profit
SHORT,support,2018-03-18 16:00:00,2018-03-18 17:30:00,7389.86,7463.76,7242.06,7463.76,1.529382,-113.02,22.72,-135.74,6,stop_loss
LONG,resistance,2018-03-18 21:15:00,2018-03-18 21:45:00,7907.0,8065.14,8065.14,7827.93,1.425064,225.36,22.76,202.6,2,take_profit
LONG,resistance,2018-03-18 21:45:00,2018-03-18 22:00:00,8225.01,8142.76,8389.51,8142.76,1.376124,-113.19,22.52,-135.71,1,stop_loss
