asset,direction,signal_type,entry_date,exit_date,entry_price,exit_price,size,pnl_gross,cost,pnl_net,bars_held,exit_reason
Gold,LONG,pullback,2025-09-05 10:00:00+00:00,2025-09-07 22:00:00+00:00,3609.3999,3623.5906,5.53446,78.54,27.67,50.87,11,stop_loss
Gold,LONG,breakout,2025-09-15 16:00:00+00:00,2025-09-16 14:00:00+00:00,3720.5,3722.3,5.371926,9.67,26.86,-17.19,20,ma_cross
Gold,LONG,pullback,2025-09-16 16:00:00+00:00,2025-09-17 01:00:00+00:00,3723.0,3716.7,5.367396,-33.81,26.84,-60.65,8,ma_cross
Gold,LONG,breakout,2025-09-26 15:00:00+00:00,2025-09-26 20:00:00+00:00,3808.5,3791.7,5.243714,-88.09,26.22,-114.31,5,stop_loss
Gold,LONG,breakout,2025-09-30 04:00:00+00:00,2025-09-30 07:00:00+00:00,3892.8,3873.8,5.124286,-97.36,25.62,-122.98,3,stop_loss
Gold,LONG,pullback,2025-10-01 19:00:00+00:00,2025-10-01 23:00:00+00:00,3888.8,3888.8999,5.123232,0.51,25.62,-25.1,3,ma_cross
Gold,LONG,breakout,2025-10-16 03:00:00+00:00,2025-10-16 05:00:00+00:00,4252.7998,4239.0,4.683551,-64.63,23.42,-88.05,2,stop_loss
Gold,LONG,breakout,2025-10-20 13:00:00+00:00,2025-10-21 05:00:00+00:00,4340.8999,4340.8999,4.58444,0.0,22.92,-22.92,15,stop_loss
Gold,LONG,pullback,2025-10-24 04:00:00+00:00,2025-10-24 06:00:00+00:00,4136.2002,4111.6733,4.810214,-117.98,24.05,-142.03,2,stop_loss
Gold,LONG,breakout,2025-10-29 09:00:00+00:00,2025-10-29 13:00:00+00:00,4029.5,4029.5,4.930538,0.0,24.65,-24.65,4,stop_loss
Gold,LONG,breakout,2025-11-06 09:00:00+00:00,2025-11-06 10:00:00+00:00,4024.1001,4013.6001,4.935929,-51.83,24.68,-76.51,1,stop_loss
Gold,LONG,breakout,2025-11-12 16:00:00+00:00,2025-11-13 14:00:00+00:00,4187.7002,4199.8999,4.739444,57.82,23.7,34.12,21,ma_cross
Gold,LONG,pullback,2025-11-26 03:00:00+00:00,2025-11-26 14:00:00+00:00,4197.0,4176.7002,4.730569,-96.03,23.65,-119.68,11,ma_cross
Gold,LONG,breakout,2025-12-11 16:00:00+00:00,2025-12-12 15:00:00+00:00,4285.3999,4320.1001,4.6274,160.57,23.14,137.43,22,ma_cross
Gold,LONG,pullback,2025-12-18 11:00:00+00:00,2025-12-18 14:00:00+00:00,4357.3999,4357.3999,4.557247,0.0,22.79,-22.79,3,stop_loss
Gold,LONG,breakout,2025-12-18 17:00:00+00:00,2025-12-18 18:00:00+00:00,4394.6001,4369.6001,4.517633,-112.94,22.59,-135.53,1,stop_loss
Gold,LONG,breakout,2026-01-09 16:00:00+00:00,2026-01-09 17:00:00+00:00,4521.7998,4499.5,4.384556,-97.77,21.92,-119.7,1,stop_loss
Gold,LONG,breakout,2026-01-12 01:00:00+00:00,2026-01-12 20:00:00+00:00,4600.2002,4603.2998,4.304627,13.34,21.52,-8.18,19,ma_cross
Gold,LONG,pullback,2026-01-13 03:00:00+00:00,2026-01-13 06:00:00+00:00,4602.7998,4590.5,4.30184,-52.91,21.51,-74.42,3,ma_cross
Gold,LONG,pullback,2026-01-14 16:00:00+00:00,2026-01-14 21:00:00+00:00,4624.8999,4633.8999,4.278065,38.5,21.39,17.11,5,ma_cross
Gold,LONG,breakout,2026-01-20 05:00:00+00:00,2026-01-21 16:00:00+00:00,4700.8999,4836.5,4.209629,570.83,21.05,549.78,34,ma_cross
Gold,LONG,pullback,2026-01-21 23:00:00+00:00,2026-01-22 00:00:00+00:00,4836.2002,4801.3664,4.114594,-143.33,20.57,-163.9,1,stop_loss
Gold,LONG,breakout,2026-01-22 18:00:00+00:00,2026-01-23 08:00:00+00:00,4907.7002,4907.7002,4.04797,0.0,20.24,-20.24,13,stop_loss
Gold,LONG,breakout,2026-01-26 00:00:00+00:00,2026-01-26 18:00:00+00:00,5039.3999,5064.6001,3.941377,99.32,19.71,79.62,18,ma_cross
Gold,LONG,breakout,2026-01-27 21:00:00+00:00,2026-01-29 15:00:00+00:00,5175.0,5175.0,3.841178,0.0,19.21,-19.21,40,stop_loss
Gold,LONG,pullback,2026-02-12 01:00:00+00:00,2026-02-12 04:00:00+00:00,5083.0,5090.3999,3.909946,28.93,19.55,9.38,3,ma_cross
Gold,LONG,pullback,2026-02-16 04:00:00+00:00,2026-02-17 05:00:00+00:00,5006.2002,4972.3573,3.970303,-134.37,19.85,-154.22,1,stop_loss
Gold,LONG,pullback,2026-02-20 16:00:00+00:00,2026-02-24 01:00:00+00:00,5062.2998,5196.6001,3.920212,526.49,19.6,506.88,31,ma_cross
Gold,LONG,breakout,2026-02-27 14:00:00+00:00,2026-03-02 14:00:00+00:00,5240.7998,5346.3999,3.806035,401.92,19.03,382.89,23,ma_cross
Gold,LONG,pullback,2026-03-02 19:00:00+00:00,2026-03-02 23:00:00+00:00,5329.8999,5359.1001,3.756777,109.7,18.78,90.91,3,ma_cross
Gold,LONG,breakout,2026-03-10 02:00:00+00:00,2026-03-10 22:00:00+00:00,5192.7998,5196.7002,3.859464,15.05,19.3,-4.24,19,ma_cross
Gold,LONG,pullback,2026-03-11 10:00:00+00:00,2026-03-11 12:00:00+00:00,5195.7998,5173.876,3.857073,-84.56,19.29,-103.85,2,stop_loss
NASDAQ,LONG,breakout,2024-06-05 15:00:00+00:00,2024-06-06 13:00:00+00:00,18921.5,19033.75,1.056999,118.65,5.28,113.36,21,ma_cross
