asset,direction,signal_type,entry_date,exit_date,entry_price,exit_price,size,pnl_gross,cost,pnl_net,bars_held,exit_reason
BTC-Binance,SHORT,pullback,2021-06-05 14:30:00,2021-06-05 15:25:00,35889.07,35889.07,0.408656,0.0,29.33,-29.33,11,stop_loss
BTC-Binance,SHORT,pullback,2021-06-06 07:45:00,2021-06-06 08:55:00,36102.48,36277.3972,0.406078,-71.03,29.39,-100.42,14,stop_loss
BTC-Binance,LONG,pullback,2021-06-10 06:50:00,2021-06-10 08:35:00,36832.76,36537.4398,0.397481,-117.38,29.16,-146.55,21,stop_loss
BTC-Binance,SHORT,pullback,2021-06-12 05:25:00,2021-06-12 07:00:00,35388.86,35388.86,0.412871,0.0,29.22,-29.22,19,stop_loss
BTC-Binance,LONG,pullback,2021-06-14 15:10:00,2021-06-14 16:00:00,40491.19,40491.19,0.3607,0.0,29.21,-29.21,10,stop_loss
BTC-Binance,LONG,pullback,2021-06-14 22:45:00,2021-06-15 00:05:00,40178.04,40178.04,0.363366,0.0,29.2,-29.2,16,stop_loss
BTC-Binance,LONG,pullback,2021-06-16 06:20:00,2021-06-16 07:10:00,40313.52,40313.52,0.362,0.0,29.19,-29.19,10,stop_loss
BTC-Binance,SHORT,pullback,2021-06-17 19:35:00,2021-06-17 20:05:00,37775.68,37598.3966,0.386165,68.46,29.11,39.35,6,stop_loss
BTC-Binance,SHORT,pullback,2021-06-18 16:40:00,2021-06-18 20:00:00,36534.45,35596.86,0.3995,374.57,28.82,345.75,40,ma_cross
BTC-Binance,SHORT,pullback,2021-06-21 06:00:00,2021-06-21 08:00:00,34445.35,32938.68,0.425737,641.45,28.69,612.76,24,ma_cross
BTC-Binance,SHORT,pullback,2021-06-22 00:10:00,2021-06-22 01:00:00,31498.93,31958.2493,0.469452,-215.63,29.79,-245.42,10,stop_loss
BTC-Binance,LONG,pullback,2021-06-29 08:10:00,2021-06-29 12:00:00,34790.0,35436.16,0.423632,273.73,29.75,243.98,46,ma_cross
BTC-Binance,LONG,pullback,2021-06-30 03:00:00,2021-06-30 03:05:00,35799.99,35679.7211,0.413043,-49.68,29.52,-79.2,1,stop_loss
BTC-Binance,SHORT,pullback,2021-07-01 05:05:00,2021-07-01 06:00:00,34289.88,34412.9447,0.430771,-53.01,29.6,-82.61,11,stop_loss
BTC-Binance,SHORT,pullback,2021-07-02 04:55:00,2021-07-02 06:55:00,33062.27,32957.53,0.446266,46.74,29.46,17.28,24,ma_cross
